brand,market,appliance_type,code,meaning,component,cause_category,severity,rank,rank_basis,title,steps,diy_difficulty,source_url
LG,US,oven_range,H5,The cooktop surface temperature is above 150 degrees Fahrenheit.,cooktop temperature sensor,temperature,informational,1.0,manufacturer_first,Let the cooktop cool and reset,"Press Power on/off; if the code persists, switch the breaker off for thirty seconds and back on.",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,oven_range,PF,Power to the range was interrupted.,control board,power,informational,1.0,manufacturer_first,Clear the power-failure code,"Press Clear/Off; if the code persists, cycle the circuit breaker (off thirty seconds, then on).",easy,https://www.lg.com/us/support/help-library/lg-range-error-codes-list--20150154166283
LG,US,refrigerator,22,A fault was detected in the compressor relay.,compressor relay,compressor,stop_failure,1.0,manufacturer_first,Request professional service,LG publishes no user troubleshooting for the compressor relay fault; request repair service.,professional_only,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,67,A door is ajar or an object is preventing it from closing.,door seal,door_lock,degraded,1.0,manufacturer_first,Request professional service,LG publishes no user troubleshooting for this door fault; clear obstructions and request repair service.,professional_only,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,CF,The condenser discharge-fan feedback signal fell below its threshold.,condenser fan,fan,degraded,1.0,manufacturer_first,Request professional service,LG publishes no user troubleshooting for this fan-feedback fault; request repair service.,professional_only,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,CHE,A high-side refrigerant leak or restriction was detected.,condenser and refrigerant line,refrigerant,stop_failure,1.0,manufacturer_first,Request professional service,LG publishes no user troubleshooting for this refrigerant fault; request repair service.,professional_only,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,CLE,A low-side refrigerant leak was detected.,evaporator and refrigerant line,refrigerant,stop_failure,1.0,manufacturer_first,Request professional service,LG publishes no user troubleshooting for this refrigerant fault; request repair service.,professional_only,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,CO,A communication fault occurred between the main board and the display.,control board,communication,degraded,1.0,manufacturer_first,Request professional service,LG publishes no user troubleshooting for this board communication fault; request repair service.,professional_only,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,DH,A defrost cycle ran beyond one hour without completing.,defrost heater,defrost,degraded,1.0,manufacturer_first,Reset and re-run defrost,"Unplug the unit for two minutes to reset, let the defrost cycle run again, and request service if the error returns.",easy,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,DS,The defrost sensor is open or shorted.,defrost sensor,sensor,degraded,1.0,manufacturer_first,Request professional service,LG publishes no user troubleshooting for the defrost sensor fault; request repair service.,professional_only,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,FF,"The freezer fan is faulty, often from frost buildup.",freezer fan,fan,degraded,1.0,manufacturer_first,Manually defrost the freezer,"Unplug, remove food, and leave the doors open for at least eight hours; dry the interior, restart, and allow 24-48 hours to stabilize. Keep vents clear and doors aligned.",moderate,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,FF,"The freezer fan is faulty, often from frost buildup.",freezer fan,fan,degraded,2.0,cost_ascending,Replace the evaporator fan motor,"If the fan error returns after a full manual defrost, disconnect power and replace the evaporator fan motor.",advanced,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,FS,The freezer temperature sensor is open or shorted.,freezer sensor,sensor,degraded,1.0,manufacturer_first,Request professional service,LG publishes no user troubleshooting for the freezer sensor fault; request repair service.,professional_only,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,GF,The water flow sensor is faulty or the supply pressure is low.,flow sensor,water_supply,degraded,1.0,manufacturer_first,Check flow and pressure,"If the ice maker overfills the flow sensor may have failed; if household water pressure is low, raise it. Otherwise request service.",moderate,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,HS,The humidity sensor is open or shorted.,humidity sensor,sensor,degraded,1.0,manufacturer_first,Request professional service,LG publishes no user troubleshooting for the humidity sensor fault; request repair service.,professional_only,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,IF,The ice-maker fan is faulty.,ice maker fan,ice_maker,degraded,1.0,manufacturer_first,Defrost and check the door,"Perform a manual defrost, inspect the door gasket for tears, and verify door alignment and leveling; request service if persistent.",moderate,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,RF,The refrigerator compartment fan motor is faulty.,refrigerator fan,fan,degraded,1.0,manufacturer_first,Manually defrost,"Perform a full manual defrost (doors open eight or more hours), confirm vents are clear and doors close properly, then request service if the fan error returns.",moderate,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,RS,The refrigerator temperature sensor is open or shorted.,refrigerator sensor,sensor,degraded,1.0,manufacturer_first,Request professional service,LG publishes no user troubleshooting for the refrigerator sensor fault; request repair service.,professional_only,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,refrigerator,RT,The ambient room-temperature sensor is open or shorted.,ambient sensor,sensor,degraded,1.0,manufacturer_first,Request professional service,LG publishes no user troubleshooting for the room-temperature sensor fault; request repair service.,professional_only,https://www.lg.com/us/support/help-library/lg-refrigerator-error-code-list--1441392048805
LG,US,washer,CE,An over-current condition was detected in the motor drive circuit.,motor control board,motor,stop_failure,1.0,manufacturer_first,Power-cycle the washer,"Unplug for ten seconds, restore power, and attempt a cycle.",easy,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,DE,The door could not be confirmed locked before the cycle started.,door lock assembly,door_lock,stop_failure,1.0,manufacturer_first,Reset the door lock,"Unplug the washer, hold Start/Pause for five seconds while unpowered, restore power, close the door firmly, and restart.",moderate,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,DE,The door could not be confirmed locked before the cycle started.,door lock assembly,door_lock,stop_failure,2.0,cost_ascending,Replace the door lock assembly,"If the door still will not lock after the reset, disconnect power and replace the door lock and switch assembly.",advanced,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,DL,The door-latch switch is not reading the door as closed.,door latch switch,door_lock,stop_failure,1.0,manufacturer_first,Clear the door and reset,"Remove anything caught in the door, unplug for ten seconds, restore power, and retry the cycle.",easy,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,E6,A foreign object or jam was detected between the drum and the pulsator.,clutch and drum,motor,degraded,1.0,manufacturer_first,Remove the obstruction,"Empty the tub and check between the drum and pulsator for coins or foreign objects, removing any with pliers.",moderate,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,FE,"Water rose past the safe threshold, indicating an overfill.",water inlet valve,water_supply,stop_failure,1.0,manufacturer_first,Drain the overfill,"Close both water taps, power on, select the no-spin option, press Start/Pause to drain, then restart.",moderate,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,IE,"Water did not reach the required level within the fill window, indicating an inadequate supply.",water inlet valve,water_supply,stop_failure,1.0,manufacturer_first,Restore adequate water flow,"Open the water tap fully, straighten any kink in the fill hose, and clean the inlet screen filter if it is clogged; confirm household water pressure is adequate.",easy,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,IE,"Water did not reach the required level within the fill window, indicating an inadequate supply.",water inlet valve,water_supply,stop_failure,2.0,cost_ascending,Replace the water inlet valve,"If supply, hoses, and filter check out and the fill error returns, disconnect power and water and replace the cold water inlet valve.",advanced,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,LE,Motor overload protection tripped after the drive motor stalled or locked.,drive motor,motor,stop_failure,1.0,manufacturer_first,Let the motor cool,"Leave the washer off for about thirty minutes so the drive motor can cool, then restart the cycle.",easy,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,OE,Water was not expelled from the tub within the expected drain window.,drain pump,drainage,stop_failure,1.0,manufacturer_first,Clear the drain path,"Straighten the drain hose and clear any blockage, then remove and clean the drain filter.",easy,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,OE,Water was not expelled from the tub within the expected drain window.,drain pump,drainage,stop_failure,2.0,cost_ascending,Replace the drain pump,"If the hose and filter are clear and the code returns, disconnect power and water, open the access panel, and replace the drain pump and motor assembly.",moderate,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,PE,The water-level pressure sensor reported a reading outside its valid range.,water level sensor,sensor,degraded,1.0,manufacturer_first,Power-cycle the washer,"Unplug the washer for ten seconds, restore power, and restart the cycle.",easy,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,PF,Power to the washer was interrupted during a running cycle.,control board,power,informational,1.0,manufacturer_first,Reset after power loss,"Unplug or trip the breaker, hold Start/Pause for five seconds while unpowered, restore power, and run a cycle.",easy,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,SUD,Excess foam was detected and the wash paused to disperse it.,detergent system,suds,degraded,1.0,manufacturer_first,Reduce detergent,Use no more than the recommended amount of detergent and reduce it until the sudsing stops.,easy,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,TCL,Maintenance reminder that the tub-clean cycle is due.,tub,informational,informational,1.0,manufacturer_first,Run the tub-clean cycle,"Empty the tub, add washing-machine cleaner powder, select the Tub Clean cycle, and start it.",easy,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,TE,The water-heating circuit or its thermistor is out of range.,thermistor,temperature,degraded,1.0,manufacturer_first,Power-cycle and drain,"Unplug for ten seconds, restore power, select a no-spin drain, then restart the cycle.",easy,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
LG,US,washer,UE,The drum could not balance the load well enough to spin safely.,drum suspension,unbalanced,degraded,1.0,manufacturer_first,Rebalance the load,"Redistribute the laundry evenly around the drum, adding a few similar items for very small loads, then restart the cycle.",easy,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078
Maytag,US,washer,DET,No detergent cartridge is detected in the dispenser.,detergent dispenser,dispenser,degraded,1.0,manufacturer_first,Reseat the detergent cartridge,Insert the dispenser cartridge correctly and close the drawer fully.,easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Front_Load_Washers
Maytag,US,washer,DRN,The washer is not draining properly.,drain pump,drainage,stop_failure,1.0,manufacturer_first,Review the installation,Slow draining is often an installation issue; verify the drain setup and schedule service if it persists.,moderate,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Top_Load_HE_Washers
Maytag,US,washer,F5E2,The door is not locking properly.,door lock assembly,door_lock,stop_failure,1.0,manufacturer_first,Clear the door and reset,"Remove anything blocking the door so it closes fully, then press Pause/Cancel twice and Power once to clear.",easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Front_Load_Washers
Maytag,US,washer,F5E2,The door is not locking properly.,door lock assembly,door_lock,stop_failure,2.0,cost_ascending,Replace the door latch,"If nothing blocks the door and the lock error returns after clearing, disconnect power and replace the door latch assembly.",advanced,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Front_Load_Washers
Maytag,US,washer,F7E1,A motor speed-sensing error was detected.,drive motor,motor,stop_failure,1.0,manufacturer_first,Check bolts and load,"Confirm all shipping bolts were removed and the drum is not overloaded, then clear the code with Pause/Cancel twice and Power once.",moderate,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Front_Load_Washers
Maytag,US,washer,F8E1,The washer senses a low flow of water during fill.,water inlet valve,water_supply,stop_failure,1.0,manufacturer_first,Open the water supply,"Turn the household supply on, open both faucets fully, straighten kinked inlet hoses, and remove any anti-flood devices.",easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Front_Load_Washers
Maytag,US,washer,F8E2,A problem was detected with the dispenser system.,detergent dispenser,dispenser,degraded,1.0,manufacturer_first,Clean the dispenser,Check the detergent drawer or cartridge for clogged detergent and clean it out.,easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Front_Load_Washers
Maytag,US,washer,F9E1,Draining is taking longer than expected (over about eight minutes).,drain pump,drainage,stop_failure,1.0,manufacturer_first,Clear the drain path,"Straighten or unclog the drain hose, fit the U-shaped form, verify standpipe height, and use HE detergent.",moderate,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Front_Load_Washers
Maytag,US,washer,HC,The hot and cold inlet hoses are connected in reverse.,inlet hoses,water_supply,degraded,1.0,manufacturer_first,Swap the hoses,"Turn off the water supply, reverse the hot and cold inlet hoses, and run a cycle to confirm.",easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Top_Load_HE_Washers
Maytag,US,washer,INT,The cycle was paused or cancelled.,control system,informational,informational,1.0,manufacturer_first,Clear the interrupted cycle,"Press Pause/Cancel twice and Power once; if the code stays, disconnect power for five minutes.",easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Front_Load_Washers
Maytag,US,washer,LDL,The lid is not locking.,lid lock,door_lock,stop_failure,1.0,manufacturer_first,Clear the lid lock,Remove items from under the lid and clean detergent buildup around the lid-lock mechanism.,easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Top_Load_HE_Washers
Maytag,US,washer,LDU,The lid cannot unlock.,lid lock,door_lock,degraded,1.0,manufacturer_first,Clear the washer top,Remove objects such as a laundry basket from the top of the washer so the lid can unlock.,easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Top_Load_HE_Washers
Maytag,US,washer,LID,The lid was left open.,lid,door_lock,informational,1.0,manufacturer_first,Close the lid,"Close the lid to clear the display; if the tub drained, restart the cycle without adding more detergent.",easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Top_Load_HE_Washers
Maytag,US,washer,LOC,"The control lock is active, disabling the panel.",control panel,informational,informational,1.0,manufacturer_first,Release the control lock,Press the Control Lock button; on older models the owner's manual identifies which button toggles the lock.,easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Front_Load_Washers
Maytag,US,washer,OFB,The load is out of balance.,drum suspension,unbalanced,degraded,1.0,manufacturer_first,Rebalance the load,"Redistribute items loosely and evenly around the washplate, close the lid, and press Start/Pause.",easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Top_Load_HE_Washers
Maytag,US,washer,OL,The load is too large.,drum,unbalanced,degraded,1.0,manufacturer_first,Lighten the load,"Remove several items, add HE detergent, close the lid, and press Start/Pause.",easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Top_Load_HE_Washers
Maytag,US,washer,PF,The wash cycle was interrupted by a power failure.,control board,power,informational,1.0,manufacturer_first,Restart after the outage,"Touch and hold Start to resume the cycle, or press Power to clear the display.",easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Top_Load_HE_Washers
Maytag,US,washer,RL,Items were detected in the drum during the Clean Washer cycle.,drum,informational,degraded,1.0,manufacturer_first,Empty the drum,Remove all items from the drum and restart the Clean Washer cycle.,easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Front_Load_Washers
Maytag,US,washer,SUD,Too many suds were detected in the wash.,detergent system,suds,degraded,1.0,manufacturer_first,Cut the suds,"Switch to HE detergent, avoid no-splash chlorine bleach, and confirm the drain hose is not kinked or clogged.",easy,https://producthelp.maytag.com/Laundry/Washers/Product_Info/Washer_Product_Assistance/Error_Codes_in_Front_Load_Washers
Miele,UK,washer,F1,A short circuit was detected in the NTC temperature sensor.,NTC thermistor,sensor,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F10,A water intake fault was detected.,water inlet valve,water_supply,stop_failure,1.0,cost_ascending,Restore the water intake,"Open the tap fully, confirm flow of at least five litres in fifteen seconds, straighten the inlet hose, and rinse the plastic inlet filter clean.",easy,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F10,A water intake fault was detected.,water inlet valve,water_supply,stop_failure,2.0,cost_ascending,Replace the inlet valve,"If supply and filter check out, have the inlet valve solenoids tested and the valve assembly replaced if defective.",professional_only,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F100,A communication link failure was detected.,control board,communication,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F104,Low voltage is reaching the drive.,inverter drive,power,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F11,The machine is having difficulty draining.,drain pump,drainage,stop_failure,1.0,cost_ascending,Clean the drain filter,"Unplug the machine, open the lower access panel with a tray ready for water, unscrew the drain filter, clear lint and debris, and refit it securely.",easy,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F11,The machine is having difficulty draining.,drain pump,drainage,stop_failure,2.0,cost_ascending,Clear the drain hose,"Remove kinks and loops from the drain hose, keep its end no higher than about one metre from the floor, and flush the hose through if blocked.",moderate,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F11,The machine is having difficulty draining.,drain pump,drainage,stop_failure,3.0,cost_ascending,Service the drain pump,"If drainage still fails, have the pump impeller checked for debris or damage, the pump tested electrically, and the assembly replaced if defective.",professional_only,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F15,A fault was detected in the hot water intake.,hot inlet valve,water_supply,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F16,Excess detergent (over-foaming) was detected.,foam detection,suds,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F19,The flow meter is turning too slowly.,flow meter,sensor,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F2,An open circuit or fault was detected in the NTC temperature sensor.,NTC thermistor,sensor,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F20,A heating malfunction was detected.,heating element,heating,degraded,1.0,cost_ascending,Reset and retry,"Disconnect from the mains for at least two minutes, reconnect, and rerun the programme.",easy,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F20,A heating malfunction was detected.,heating element,heating,degraded,2.0,cost_ascending,Service the heating circuit,"If heating still fails, have the element, NTC sensors, and Thermostop control checked and any faulty component replaced.",professional_only,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F29,The steam heater is inactive.,steam generator,heating,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F34,The door is failing to lock.,door latch,door_lock,stop_failure,1.0,cost_ascending,Clear the door and reset,"Power off for two minutes, remove anything blocking the latch, close the door fully, and retry with a lighter load.",easy,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F34,The door is failing to lock.,door latch,door_lock,stop_failure,2.0,cost_ascending,Service the door lock,"If the door still fails to lock, have the lock switch, latch, and wiring harness inspected and the door lock assembly replaced if damaged.",professional_only,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F35,The door is failing to unlock.,door latch,door_lock,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F39,A failure was detected in the electronic unit.,control board,control_board,stop_failure,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F41,Faulty electronic memory is returning incorrect data.,memory module,control_board,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F43,The appliance model is not programmed in the control.,control board,control_board,stop_failure,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F45,The flash RAM is defective.,flash RAM,control_board,stop_failure,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F50,A drive fault was detected.,motor drive inverter,motor,stop_failure,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F51,A level-switch or pressure-sensor fault was detected.,pressure switch,sensor,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F53,A speed sensor (tachometer) fault was detected.,tachometer,sensor,degraded,1.0,cost_ascending,Reset the electronics,"Unplug for five to ten minutes to reset the controls, then run a short empty cycle.",easy,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F53,A speed sensor (tachometer) fault was detected.,tachometer,sensor,degraded,2.0,cost_ascending,Service the tachogenerator and brushes,"If the speed fault returns, have the tachogenerator readings checked against service specs, worn carbon brushes replaced in pairs, and the motor-to-board wiring verified.",professional_only,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F56,The final spin speed stayed below 400 rpm.,spin assembly,motor,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F62,The program selector is defective.,program selector,control_board,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F63,A failure was detected in the water path control unit.,water control module,water_supply,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F65,The drum lighting cap is missing.,drum illumination cap,informational,informational,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F81,Steam is inactive in the heater unit.,steam module,heating,degraded,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F83,Excessive temperature was detected in the heater unit.,heating element,temperature,stop_failure,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Miele,UK,washer,F92,A hygiene warning: risk of bacterial contamination from low-temperature washing.,hygiene monitoring,informational,informational,,,,,,https://www.domex-uk.co.uk/help-advice/miele-washing-machine-fault-codes/
Samsung,US,dishwasher,1E,"A clogged filter (Waterwall models) or heater over-temperature (Rotary models), depending on model.",filter and heater,filter,degraded,,,,,,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,3C,A drain-pump operation fault was detected.,drain pump,motor,stop_failure,1.0,manufacturer_first,Reset then service,"Turn the dishwasher off and start the cycle again; if the pump fault persists, contact support for service.",moderate,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,3E,Incoming water is hotter than the allowed limit.,water supply,water_supply,degraded,,,,,,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,4C,The water supply is inadequate in pressure or temperature.,water inlet valve,water_supply,stop_failure,1.0,manufacturer_first,Restore the water supply,Confirm the supply valve is open and the inlet hose is unkinked with adequate pressure and temperature.,easy,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,5C,The dishwasher cannot drain.,drain pump,drainage,stop_failure,1.0,manufacturer_first,Clear the drain,"Clear the filter and drain hose of any blockage, then restart the cycle.",easy,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,5C,The dishwasher cannot drain.,drain pump,drainage,stop_failure,2.0,cost_ascending,Replace the drain pump,"If the filter and hose are clear and the drain error returns, disconnect power and water and replace the drain pump assembly.",advanced,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,7E,The Waterwall reflector is not moving correctly.,waterwall reflector,motor,degraded,,,,,,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,9E,The water level inside the tub is too low.,water level sensor,water_supply,degraded,1.0,manufacturer_first,Rerun and reset,"Empty the unit, add detergent, and run a normal cycle; if it continues, power off at the breaker and request service.",moderate,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,BE,A panel button is being sensed as stuck.,control panel,control_board,degraded,1.0,manufacturer_first,Free the stuck button,"Turn the dishwasher off and press each panel button once; if a button stays stuck or the error returns, contact support.",easy,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,CE,A communication fault occurred in the control electronics.,control board,communication,degraded,,,,,,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,HC,The water overheated beyond the safe limit.,heating element,heating,stop_failure,1.0,manufacturer_first,Reset at the breaker,"Switch power off for thirty seconds at the breaker and back on, empty the unit, add detergent, and run a Normal cycle.",moderate,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,HE,The heater temperature-detection circuit is faulty.,temperature sensor,heating,degraded,1.0,manufacturer_first,Rerun and reset,"Empty the unit, add detergent and run a normal cycle; if it persists, power off at the breaker and contact support.",moderate,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,LC,The leak sensor detected moisture.,leak sensor,leak,stop_failure,1.0,manufacturer_first,Investigate the leak,The unit will keep draining until dry; check for a blocked Waterwall reflector on those models and inspect for leaks before restarting.,moderate,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,OC,The water level is above the allowed maximum.,water level sensor,water_supply,stop_failure,,,,,,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dishwasher,TE,The temperature sensor is reading incorrectly.,temperature sensor,sensor,degraded,,,,,,https://www.samsung.com/us/support/troubleshoot/TSG10004499/
Samsung,US,dryer,3C,A drive-motor fault was detected.,drive motor,motor,stop_failure,1.0,manufacturer_first,Reset then service,"Power off for two to three minutes and restart; if the motor error returns, request service.",moderate,https://www.samsung.com/us/support/troubleshoot/TSG10001006/
Samsung,US,dryer,9C1,The voltage supplied to the dryer is abnormal.,power supply,power,stop_failure,1.0,manufacturer_first,Fix the power supply,Run the dryer on its own circuit without an extension cord and confirm correct cord installation and voltage; contact support if it persists.,moderate,https://www.samsung.com/us/support/troubleshoot/TSG10001006/
Samsung,US,dryer,AC,Internal control modules cannot communicate with each other.,control board,communication,degraded,1.0,manufacturer_first,Power-cycle the dryer,Shut the dryer off for sixty seconds and turn it back on; contact support if the communication error remains.,easy,https://www.samsung.com/us/support/troubleshoot/TSG10001006/
Samsung,US,dryer,BE,A control-panel button is being sensed as stuck.,control panel,control_board,degraded,1.0,manufacturer_first,Free the stuck button,"Power off and individually touch and release every button on the panel, working across each button's edges.",easy,https://www.samsung.com/us/support/troubleshoot/TSG10001006/
